"goods_img","goods_title","goods_price","goods_sales","shop_title","shop_platform","goods_link","grab_time","page_type","search_keyword"
"https://imgservice2.suning.cn/uimg1/b2c/image/3zV66pzywoDGQg-ASf_nGQ.jpg_400w_400h_4e","李宁(LI-NING) 男女同款 棒球帽 AMYU263-1 黑色自营","8424.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436150467.html","2025-07-05 14:19","product","李宁"
"https://imgservice1.suning.cn/uimg1/b2c/image/EwwTc-oRuj0cLPEkPsaBiA.jpg_400w_400h_4e","李宁(LI-NING) 男女同款 棒球帽 AMYU263-2 白色自营","8424.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436150778.html","2025-07-05 14:19","product","李宁"
"https://imgservice5.suning.cn/uimg1/b2c/image/0HiRSqX3Kv32vLpuAkaDug.jpg_400w_400h_4e","李宁(LI-NING) 男款2024简约开衫无帽卫衣AWDUA75-2 花灰 S-5XL(码数备注)质量保障","31879.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160503.html","2025-07-05 14:19","product","李宁"
"https://imgservice5.suning.cn/uimg1/b2c/image/ZdQQvKbaxuiJgWmAHMAknQ.jpg_400w_400h_4e","李宁(LI-NING) 男款2024简约开衫无帽卫衣AWDUA75-4 彩蓝色 S-5XL(码数备注)质量保障","31879.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160504.html","2025-07-05 14:19","product","李宁"
"https://imgservice5.suning.cn/uimg1/b2c/image/9DNZ26dWrcBiwjf00kug4A.jpg_400w_400h_4e","李宁(LI-NING) 男款2024简约开衫无帽卫衣AWDUA75-6 桔黄色 S-5XL(码数备注)质量保障","31879.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160505.html","2025-07-05 14:19","product","李宁"
"https://imgservice5.suning.cn/uimg1/b2c/image/OdnmmmEH6Ft05MlQIID_Ow.jpg_400w_400h_4e","李宁(LI-NING) 男款2024简约开衫无帽卫衣AWDUA75-7 标准白 S-5XL(码数备注)质量保障","31879.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160506.html","2025-07-05 14:19","product","李宁"
"https://imgservice5.suning.cn/uimg1/b2c/image/pgf90u1HIrMfFAP2yEauDQ.jpg_400w_400h_4e","李宁(LI-NING) 男款2024简约开衫无帽卫衣AWDUA75-8 公牛红 S-5XL(码数备注)质量保障","31879.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160507.html","2025-07-05 14:19","product","李宁"
"https://imgservice5.suning.cn/uimg1/b2c/image/e0DTvXSa7q174TrjZQjzHA.jpg_400w_400h_4e","李宁(LI-NING) 女款2024简约开衫无帽卫衣AWDUA76-1 黑色 XS-3XL(码数备注)质量保障","31879.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160508.html","2025-07-05 14:19","product","李宁"
"https://imgservice5.suning.cn/uimg1/b2c/image/Bmhhc4HN73uGB3KMP0IwKw.jpg_400w_400h_4e","李宁(LI-NING) 女款2024简约开衫无帽卫衣AWDUA76-2 花灰 XS-3XL(码数备注)质量保障","31879.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160509.html","2025-07-05 14:19","product","李宁"
"https://imgservice5.suning.cn/uimg1/b2c/image/2qfouea-YFcQm2hK8LWzBg.jpg_400w_400h_4e","李宁(LI-NING) 女款2024简约开衫无帽卫衣AWDUA76-4 彩蓝色 XS-3XL(码数备注)质量保障","31879.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160510.html","2025-07-05 14:19","product","李宁"
"https://imgservice5.suning.cn/uimg1/b2c/image/OoEy1tRFsWwly6_YTa7T0A.jpg_400w_400h_4e","李宁(LI-NING) 女款2024简约开衫无帽卫衣AWDUA76-6 桔黄色 XS-3XL(码数备注)质量保障","31879.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160511.html","2025-07-05 14:19","product","李宁"
"https://imgservice5.suning.cn/uimg1/b2c/image/PbCSzK41dTuMcW0_3gSffQ.jpg_400w_400h_4e","李宁(LI-NING) 女款2024简约开衫无帽卫衣AWDUA76-7 标准白 XS-3XL(码数备注)质量保障","31879.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160512.html","2025-07-05 14:19","product","李宁"
"https://imgservice5.suning.cn/uimg1/b2c/image/dqMmZk-peARljqoSIELZPg.jpg_400w_400h_4e","李宁(LI-NING) 女款2024简约开衫无帽卫衣AWDUA76-8 公牛红 XS-3XL(码数备注)质量保障","31879.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160513.html","2025-07-05 14:19","product","李宁"
"https://imgservice5.suning.cn/uimg1/b2c/image/qYUdx7DRLouoy-gRCgNCGA.jpg_400w_400h_4e","李宁(LI-NING) 男款2024直筒卫裤舒适百搭运动长裤AKLU981-1 黑色 S-3XL(码数备注)质量保障","20625.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160514.html","2025-07-05 14:19","product","李宁"
"https://imgservice5.suning.cn/uimg1/b2c/image/vzcdWhxobtH-z1foHLpoFQ.jpg_400w_400h_4e","李宁(LI-NING) 男款2024直筒卫裤舒适百搭运动长裤AKLU981-2 花灰 S-3XL(码数备注)质量保障","21218.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160515.html","2025-07-05 14:19","product","李宁"
"https://imgservice5.suning.cn/uimg1/b2c/image/UVT2czDbK-qurlVqqL-cCQ.jpg_400w_400h_4e","李宁(LI-NING) 男款2024直筒卫裤舒适百搭运动长裤AKLU981-3 标准白 S-3XL(码数备注)质量保障","21218.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160516.html","2025-07-05 14:19","product","李宁"
"https://imgservice5.suning.cn/uimg1/b2c/image/JblbPgVF6SZCmxef322rSw.jpg_400w_400h_4e","李宁(LI-NING) 女款2024直筒卫裤舒适百搭运动长裤AKLU982-1 黑色 XS-2XL(码数备注)质量保障","21218.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160517.html","2025-07-05 14:19","product","李宁"
"https://imgservice5.suning.cn/uimg1/b2c/image/hTEMOgFL64rXoZkWryE26Q.jpg_400w_400h_4e","李宁(LI-NING) 女款2024直筒卫裤舒适百搭运动长裤AKLU982-2 花灰 XS-2XL(码数备注)质量保障","21218.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160518.html","2025-07-05 14:19","product","李宁"
"https://imgservice5.suning.cn/uimg1/b2c/image/kIgESySbA3zy0MI4jR8YtA.jpg_400w_400h_4e","李宁(LI-NING) 女款2024直筒卫裤舒适百搭运动长裤AKLU982-3 标准白 XS-2XL(码数备注)质量保障","21218.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160519.html","2025-07-05 14:19","product","李宁"
"https://imgservice5.suning.cn/uimg1/b2c/image/4WceQ3YlZE31IDBW5zzBjw.jpg_400w_400h_4e","李宁(LI-NING) 男款2024开衫无帽卫衣AWDUA71-5 公牛红 S-5XL(码数备注)质量保障","42542.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160520.html","2025-07-05 14:19","product","李宁"
"https://imgservice2.suning.cn/uimg1/b2c/image/T8RwtUCsGbT7oS0tJbDh9w.png_400w_400h_4e","正版 聪明宝宝怎么吃 李宁 青岛出版社 9787543659827 书籍新华书店旗下自营，正版全新","1331.00","0","美阅书店","苏宁","https://product.suning.com/0070153176/12429567726.html","2025-07-05 14:19","product","李宁"
"https://imgservice2.suning.cn/uimg1/b2c/image/we4e8Nc50jqhr6nblsybUw.png_400w_400h_4e","正版 李宁细说孕产妇怎么吃 李宁 青岛出版社 9787555214069 书籍新华书店旗下自营，正版全新","3059.00","0","美阅书店","苏宁","https://product.suning.com/0070153176/12429570036.html","2025-07-05 14:19","product","李宁"
"https://imgservice2.suning.cn/uimg1/b2c/image/W0BKyS3aF3718GamFrnmtA.png_400w_400h_4e","正版 小球大乾坤 朱国顺,李宁 文汇出版社 9787549629244 书籍新华书店旗下自营，正版全新","5374.00","0","美阅书店","苏宁","https://product.suning.com/0070153176/12429575938.html","2025-07-05 14:19","product","李宁"
"https://imgservice2.suning.cn/uimg1/b2c/image/5EREAuzJwIONKm3d6LaUkg.jpg_400w_400h_4e","正版 宋美龄年谱 朱宝琴 李宁 东方出版社 9787506095228 书籍新华书店旗下自营，正版全新","6885.00","0","美阅书店","苏宁","https://product.suning.com/0070153176/12429580016.html","2025-07-05 14:19","product","李宁"
"https://imgservice1.suning.cn/uimg1/b2c/image/k-R4VQZwuWzh3xW_bo2vQA.png_400w_400h_4e","正版 隐性饥饿 李宁编著 中国轻工业出版社 9787518435005 书籍新华书店旗下自营，正版全新","4231.00","0","美阅书店","苏宁","https://product.suning.com/0070153176/12429588570.html","2025-07-05 14:19","product","李宁"
